Distance [m];volta 1 [km/h];volta2 [km/h];volta3 [km/h];volta4 [km/h];volta5 [km/h];volta6 [km/h];volta7 [km/h]
1383.68;130.939;195.119;201.096;201.144;198.182;203.430;197.824
1389.16;130.285;199.464;201.904;201.248;200.537;203.665;198.479
1394.66;129.693;199.521;198.476;199.060;199.763;204.025;198.791
1400.17;128.816;199.314;198.160;197.924;200.719;204.915;197.636
1405.68;128.016;199.951;197.844;197.850;202.405;204.325;197.988
1411.21;127.308;202.511;199.564;200.248;203.716;205.490;197.418
1416.73;126.832;201.956;200.492;201.802;202.649;205.295;197.982
1422.25;126.180;201.528;202.684;201.932;203.265;205.350;197.515
1427.77;125.656;201.686;202.508;202.038;202.919;205.570;197.015
1433.29;125.344;202.909;202.560;203.078;204.521;204.980;197.776
1438.81;125.752;203.279;202.260;204.234;204.821;206.390;196.927
1444.33;125.792;203.486;204.092;203.960;205.044;206.845;196.318
1449.86;126.472;202.663;204.008;203.538;204.419;207.185;196.882
1455.41;126.772;204.460;204.072;204.238;206.084;207.370;196.415
1460.96;126.760;205.716;203.722;205.550;207.116;208.535;195.527
1466.53;126.288;203.847;203.552;206.486;206.168;207.600;195.888
1472.10;127.392;206.118;205.308;205.236;208.239;207.340;195.512
1477.69;128.264;205.656;205.632;205.636;206.163;211.156;194.239
1483.29;129.124;205.324;208.004;205.526;207.014;210.796;194.006
1488.89;129.464;205.668;204.688;205.548;207.376;209.628;192.739
1494.51;130.756;207.264;206.148;207.170;209.312;212.324;191.536
1500.20;132.152;207.032;210.932;207.955;208.268;211.880;191.791
1505.83;132.528;207.736;206.780;207.855;208.348;210.416;190.442
1511.48;134.600;212.032;207.924;206.730;213.108;210.520;189.721
1517.14;133.000;208.444;210.340;209.685;208.640;210.508;183.145
1522.81;131.350;207.640;208.476;211.425;209.412;211.616;183.488
1528.49;129.800;210.728;208.248;208.850;212.880;212.236;181.754
1534.18;129.100;209.160;208.760;210.900;211.556;213.032;182.088
1539.89;128.500;209.184;208.468;212.100;212.180;213.820;180.936
1545.61;126.950;210.580;210.376;209.710;211.930;212.336;179.930
1551.36;124.225;210.792;210.188;210.240;211.748;212.975;180.482
1557.11;121.325;211.536;211.344;210.360;212.268;213.837;179.627
1562.88;119.100;211.692;212.752;210.415;211.956;214.745;178.921
1568.66;117.002;211.608;209.980;211.385;212.768;215.363;178.027
1574.45;114.780;213.716;211.004;212.345;214.452;215.841;178.097
1580.25;112.676;211.416;212.224;213.430;211.752;217.675;176.936
1586.07;110.588;212.488;212.508;213.795;213.700;217.907;176.803
1591.90;108.998;213.520;212.720;212.720;215.960;217.878;176.509
1597.73;106.558;213.145;214.180;213.605;215.508;217.974;175.433
1603.57;104.780;214.283;215.132;214.080;215.664;218.971;175.303
1609.42;102.884;215.037;215.556;214.565;216.480;218.529;174.330
1615.29;101.388;216.192;216.176;214.850;217.408;219.412;173.912
1621.16;99.798;216.209;216.036;215.710;217.564;220.615;173.221
1627.04;97.514;217.019;217.488;216.170;218.276;220.611;170.775
1632.95;96.024;216.827;216.296;216.475;218.160;220.878;169.342
1638.87;93.528;218.074;217.552;216.940;219.880;221.658;168.621
1644.81;89.456;217.654;219.212;217.305;218.572;221.628;166.563
1650.77;84.034;218.510;218.248;217.150;219.576;222.020;164.366
1656.75;88.296;219.783;218.848;217.130;221.552;222.152;161.778
1662.74;87.714;218.808;219.320;218.650;221.056;223.860;161.506
1668.74;86.640;220.338;218.456;219.405;221.780;222.644;158.881
1674.75;85.711;221.410;219.228;219.670;222.612;222.502;157.151
1680.78;84.957;221.136;220.780;220.010;221.624;223.610;156.324
1686.81;84.030;222.010;221.735;220.050;222.012;223.490;154.166
1692.86;83.003;222.009;222.168;219.820;223.372;224.168;150.899
1698.92;81.849;224.002;222.601;220.915;224.160;225.196;148.569
1704.99;80.603;223.108;222.952;221.815;223.748;225.872;148.597
1711.08;79.611;223.546;222.464;222.050;224.336;226.224;145.884
1717.17;78.884;225.329;223.224;221.750;224.718;226.734;143.957
1723.28;78.057;224.600;223.548;222.540;225.017;227.976;142.930
1729.40;77.157;225.130;224.108;222.870;226.155;228.112;142.512
1735.53;76.311;226.280;224.240;223.420;225.727;227.922;140.560
1741.67;75.719;224.690;224.724;224.620;226.036;228.122;139.142
1747.83;75.365;225.580;224.984;225.085;226.481;228.810;138.324
1754.06;71.072;226.150;224.832;225.004;227.381;229.139;117.454
1760.24;71.112;227.010;225.208;225.936;228.164;229.405;116.236
1766.44;71.456;227.640;225.388;226.468;227.872;230.027;113.775
1772.65;71.768;227.880;226.480;227.120;228.663;230.666;112.924
1778.87;72.396;228.530;227.392;226.980;229.426;230.473;111.348
1785.10;72.984;229.050;227.356;227.228;230.664;231.176;110.330
1791.35;73.396;228.740;228.056;227.532;230.318;231.495;108.651
